hash,AMSAT,AMSAT_RGC,BreakID-Kissat,CaDiCaL,Cadical_ESA,IsaSAT,Kissat_MAB-DC,Kissat_MAB_Binary,Kissat_MAB_ESA,hCaD-bva,hCaD-pbva,hKis-bva,hKis-pbva,kissat-sc2024,vresult,nb_vars,nb_clauses,family,track,avg_time
0bad2ce307bf5b68db26fa34e252c9d4,440.412,451.516,2082.84,661.232,982.131,10000.0,814.534,1404.53,180.0,447.776,532.097,1624.54,3583.87,1432.04,sat,,,maxsat-optimum,main_2024 | submissions_2022,1969.341
0cace8a29a1d6b225a8da561d35e8f5a,346.367,356.547,1171.65,115.92,116.007,98.3985,64.7163,63.2959,63.6837,517.885,520.826,487.986,515.794,85.0677,sat,,,miter,main_2024 | submissions_2024,240.871
0cfe9c90d3a51435a5e4dba7634b882f,10000.0,10000.0,4468.45,1.15243,1.14802,1196.79,1880.05,1177.7,10000.0,12.4511,12.2415,3404.31,10000.0,0.69204,sat,,,miter,anni_2022 | main_2017 | main_2024,2516.958
0d3160b80aa406bfc718c007265b9e73,1945.43,1898.79,10000.0,832.03,1052.38,56.8664,390.153,1060.67,1163.36,565.013,1320.87,912.097,1044.99,175.216,unsat,,,software-verification,main_2024 | submissions_2022,779.422
0d3fcbb89bfb8e821058ba3ea4284de1,84.8232,84.0724,128.355,130.682,2873.43,185.788,301.698,150.302,346.875,3806.07,10000.0,64.3739,10000.0,404.403,sat,,,scheduling,main_2024 | submissions_2022,2569.420
0d81711a3d73c828e8c6e12607eda82d,0.517066,0.519701,39.9266,198.132,124.51,10000.0,10000.0,1173.35,101.061,10000.0,10000.0,47.6098,10000.0,147.001,sat,,,heule-nol,main_2024 | submissions_2024,4708.333
0e5ffe8651c6d9c3cccc3f6cb72be39a,357.96,511.977,370.476,395.219,421.11,1890.44,408.433,514.059,439.172,654.14,979.33,275.01,572.134,477.304,unsat,,,bitvector,anni_2022 | main_2017 | main_2024,638.759
0ef029cb7616d4a89eb6d1f63e89f67e,10000.0,10000.0,26.1291,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4.6716,3.87681,5.41581,5.10503,4.91693,unsat,,,or_randxor,main_2024 | submissions_2024,5456.726
0f262afd5b117000f8b4734d175aadab,1078.64,1042.58,10000.0,1230.1,1420.39,74.7296,251.004,268.691,282.12,901.567,2077.26,2090.3,794.653,10000.0,unsat,,,software-verification,main_2024 | submissions_2022,1762.801
0fa8623240b5c14c1308f863a6dc88ab,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown,,,tseitin-formulas,anni_2022 | crafted_2012 | main_2024,10000.000
0fa9521ff633b27be11525a7b0f7d8b6,9.97994,10.1337,457.262,163.558,644.005,3378.34,259.336,51.8475,107.728,142.078,783.871,116.401,10000.0,11.0645,sat,,,random-modularity,anni_2022 | main_2015 | main_2024 | parallel_2015,1423.475
1009c791cee542cdf19651fe25e6881a,12.7419,9.48072,1499.95,15.506,33.4631,42.7003,23.2177,22.7344,17.9008,19.9199,47.4088,22.6813,65.4686,13.5705,sat,,,summle,main_2024 | submissions_2022,29.506
1156429862d3c03160406d6d1a786f11,10000.0,10000.0,188.324,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unsat,,,relativized-pigeon-hole,main_2024 | submissions_2024,10000.000
1165e12b6addad01b491c4616306186c,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown,,,bitvector,anni_2022 | main_2019 | main_2024,10000.000
11cc532ecddfb10a47e0a869b4867c1b,3314.63,3370.38,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4611.23,10000.0,10000.0,10000.0,10000.0,10000.0,sat,,,scheduling,main_2024 | submissions_2022,9510.112
12b4a08e412a3bffb513ca65639c7c69,10000.0,10000.0,247.039,4733.21,300.93,10000.0,901.313,736.966,825.059,10000.0,10000.0,208.979,10000.0,319.773,sat,,,heule-folkman,main_2024 | submissions_2024,4366.021
13ae2628d8e113db1786dba41a65fe38,595.975,617.176,323.703,423.599,18.7927,174.806,141.824,115.275,203.713,415.421,374.737,246.24,1148.03,55.8018,sat,,,hamiltonian,main_2024 | submissions_2024,301.658
1427381a809c64c721838894ece6756d,163.263,160.384,49.4035,13.8418,13.6092,8.26336,10.4318,10.2079,10.5078,292.284,366.015,291.364,310.798,49.3385,sat,,,hardware-verification,anni_2022 | industrial_2004 | main_2024,125.151
14e4cfcf0d83b2185fad41684d00d4dc,1712.11,1758.17,3274.04,2943.06,3496.91,10000.0,3702.31,2828.14,1883.81,16.3352,1627.8,1553.97,2386.3,419.15,sat,,,hamiltonian,main_2024 | submissions_2024,2805.253
14ea5857d75ae2b235a3ba97373ea732,2788.3,2611.28,2528.83,2447.52,2399.15,10000.0,2223.97,2622.79,2483.83,2239.29,3324.63,2458.88,4058.4,2125.59,unsat,,,maxsat-optimum,main_2024 | submissions_2022,3307.641
1507d9812624b3e0eaf15e40100be020,868.236,881.449,345.982,4610.81,4555.99,10000.0,1203.72,2336.76,2858.83,10000.0,10000.0,4982.85,1599.69,29.4016,sat,,,hamiltonian,main_2024 | submissions_2024,4743.459
1545660e72158c7e90da5ad4c877a124,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.456558,unsat,,,miter,main_2024 | submissions_2024,9090.951
1548977b4e27032fe07cda357782cd6a,1774.71,1774.72,3922.74,2782.6,2940.54,10000.0,10000.0,4653.91,4478.02,3260.16,4960.88,3500.01,3733.26,2692.46,unsat,,,minimum-disagreement-parity,main_2024 | submissions_2022,4818.349
16c27d738cb45b766b8823ca4f428cf0,1077.85,1096.02,1473.74,116.362,1267.31,10000.0,692.652,859.038,813.459,1912.11,720.864,1198.21,1734.38,168.249,sat,,,rbsat,anni_2022 | crafted_2012 | main_2024 | portfolio_2012,1771.149
16c5482d8e658b54e20d59cfd4b1d588,2052.56,2373.84,4009.49,10000.0,10000.0,10000.0,1830.03,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,sat,,,binary-tree-parity,main_2024 | submissions_2024,9257.275
16ca57f2cdffd5b0260fc771017e1f04,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown,,,minimum-disagreement-parity,main_2024 | submissions_2022,10000.000
170a7d847694ee4cfa5c421757672882,1260.78,1625.12,1421.74,1076.22,1274.58,10000.0,972.839,971.103,1030.98,1052.61,1263.37,1532.85,2398.44,975.464,unsat,,,maxsat-optimum,main_2024 | submissions_2022,2049.860
170b13af977e962321c493544b2bd0a9,21.7481,22.3521,10.3644,31.6332,33.4439,10000.0,35.7704,38.7364,39.8014,45.0314,54.4978,31.654,24.2473,22.4634,sat,,,random-circuits,main_2024 | submissions_2024,941.571
18c0eb461bda29214bd43b84199a3b61,10000.0,10000.0,195.376,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unsat,,,coloring,main_2024 | submissions_2024,10000.000
195852083a05edee1902233698eec14a,275.603,280.1,945.994,611.147,15.4902,1503.73,66.1379,1097.71,349.799,1560.21,393.202,176.825,4633.95,84.35,sat,,,hamiltonian,main_2024 | submissions_2024,953.868
